filename,label,encode_label
Image_11.jpg,Yeast,7
Image_12.jpg,Yeast,7
Image_13.jpg,Yeast,7
Image_14.jpg,Yeast,7
Image_15.jpg,Yeast,7
Image_16.jpg,Yeast,7
Image_17.png,Yeast,7
Image_18.jpg,Yeast,7
Image_19.jpg,Yeast,7
Image_21.jpg,Yeast,7
Image_22.jpg,Yeast,7
Image_24.jpg,Yeast,7
Image_25.jpg,Yeast,7
Image_26.jpg,Yeast,7
Image_27.jpg,Yeast,7
Image_28.jpg,Yeast,7
Image_29.jpg,Yeast,7
Image_30.jpg,Yeast,7
Image_31.jpg,Yeast,7
Image_32.jpg,Yeast,7
Image_33.jpg,Yeast,7
Image_34.jpg,Yeast,7
Image_35.jpg,Yeast,7
Image_36.jpg,Yeast,7
Image_37.jpg,Yeast,7
Image_38.jpg,Yeast,7
Image_39.jpg,Yeast,7
Image_40.jpg,Yeast,7
Image_41.jpg,Yeast,7
Image_42.jpg,Yeast,7
Image_43.jpg,Yeast,7
Image_46.jpg,Yeast,7
Image_47.jpg,Yeast,7
Image_48.jpg,Yeast,7
Image_50.jpg,Yeast,7
Image_51.jpg,Yeast,7
Image_52.jpg,Yeast,7
Image_53.jpg,Yeast,7
Image_54.jpg,Yeast,7
Image_55.jpg,Yeast,7
Image_56.jpg,Yeast,7
Image_57.jpg,Yeast,7
image_58.jpg,Yeast,7
image_59.jpg,Yeast,7
image_60.jpg,Yeast,7
image_61.jpg,Yeast,7
image_62.jpg,Yeast,7
image_64.jpg,Yeast,7
image_65.jpg,Yeast,7
image_66.jpg,Yeast,7
image_67.jpg,Yeast,7
image_68.jpg,Yeast,7
image_69.jpg,Yeast,7
Image_7.jpg,Yeast,7
image_70.jpg,Yeast,7
Image_71.jpg,Yeast,7
image_72.jpg,Yeast,7
image_73.jpg,Yeast,7
image_74.jpg,Yeast,7
image_75.jpg,Yeast,7
image_77.jpg,Yeast,7
Image_8.jpg,Yeast,7
image_80.jpg,Yeast,7
image_82.jpg,Yeast,7
image_83.jpg,Yeast,7
image_84.jpg,Yeast,7
image_86.jpg,Yeast,7
Image_9.jpg,Yeast,7
